Service,Feature,Status,Priority,Observation,Recommendation,LinkText,LinkUrl
M365,MyAnalytics (Full),Success,,"MyAnalytics (Full) is active in O365 w/o Teams Bundle M5, providing work pattern insights that correlate with Copilot adoption impact",,Microsoft 365 Documentation,https://learn.microsoft.com/microsoft-365/
M365,MyAnalytics (Full),Success,,"Work analytics baseline: 0 active users with 20 email users and 0 meetings. MyAnalytics provides the collaboration health metrics (focus time, meeting load, network breadth) that measure Copilot's ROI impact. Before AI: measure baseline work patterns. After AI: quantify time saved, meeting efficiency gains, and collaboration changes - proving Copilot business value.",,Copilot ROI Analytics,https://learn.microsoft.com/viva/insights/
M365,People Skills Foundation,Success,,"People Skills Foundation is active in O365 w/o Teams Bundle M5, enabling Copilot to find experts based on skills and topics",,Skills-Based Expert Finding,https://learn.microsoft.com/microsoft-365/topics/
M365,People Skills Foundation,Success,,"Expertise discovery baseline: 0 users, 1,062 SharePoint files, 20 email users. People Skills Foundation builds the expertise graph that Copilot queries - 'Who knows about X?' agents traverse skills, project history, and collaboration patterns to route questions to experts. AI-powered skill matching replaces manual searching, automated expert identification for projects, and knowledge discovery through relationship intelligence.",,AI Expert Finding,https://learn.microsoft.com/microsoft-365/topics/
M365,People Skills Foundation,Insight,Medium,"Growing expertise signals: 1,062 files and 20 email users. Skills graph is building as content and collaboration increase.","Encourage SharePoint document creation and Teams collaboration to enrich the skills graph. As users create content and communicate, People Skills Foundation identifies expertise patterns that Copilot uses for expert recommendations.",Build Skills Through Content,https://learn.microsoft.com/microsoft-365/topics/
M365,Microsoft Places (Core),Success,,"Microsoft Places (Core) is active in O365 w/o Teams Bundle M5, enabling workplace coordination that agents can query and manage",,Microsoft 365 Documentation,https://learn.microsoft.com/microsoft-365/
M365,Microsoft Places (Core),Insight,Low,Smaller workforce of 0 active users. Microsoft Places can establish hybrid work coordination patterns essential for Copilot-powered space booking and team presence awareness as organization scales.,"Implement Microsoft Places early to build hybrid work coordination culture. Even small teams benefit from knowing when colleagues plan office visits, enabling purposeful in-person collaboration rather than random office attendance.",Microsoft Places Overview,https://learn.microsoft.com/microsoft-365/places/overview
M365,COMMON_DEFENDER_PLATFORM_FOR_OFFICE,Success,,"COMMON_DEFENDER_PLATFORM_FOR_OFFICE is active in O365 w/o Teams Bundle M5, providing infrastructure and services that M365 Copilot depends on",,Microsoft 365 Documentation,https://learn.microsoft.com/microsoft-365/
M365,Microsoft Loop,Success,,"Microsoft Loop is active in O365 w/o Teams Bundle M5, enabling collaborative AI-assisted workspace creation",,Collaborate with Copilot in Loop,https://learn.microsoft.com/microsoft-loop/
M365,Microsoft Loop,Insight,Medium,Limited collaboration detected with 0 SharePoint sites and 0 Teams meetings. Microsoft Loop with Copilot can transform team collaboration patterns.,Launch Microsoft Loop training program to establish collaborative work culture with Copilot-powered canvases for ideation and project planning.,Collaborate with Copilot in Loop,https://learn.microsoft.com/microsoft-loop/
M365,Microsoft Stream for Office 365 (E5),Success,,"Microsoft Stream for Office 365 (E5) is active in O365 w/o Teams Bundle M5, enabling AI-powered video intelligence and searchable transcripts",,Intelligent Video with Stream,https://learn.microsoft.com/stream/
M365,Microsoft Stream for Office 365 (E5),Insight,Medium,Limited meeting volume of 0 Teams meetings. Stream can establish video-based knowledge capture culture that Copilot makes searchable and actionable.,"Launch training video initiative using Stream with AI transcription. Create searchable video library for onboarding, product demos, and how-to content that Copilot can surface contextually.",Intelligent Video with Stream,https://learn.microsoft.com/stream/
M365,Clipchamp,Success,,"Clipchamp is active in O365 w/o Teams Bundle M5, providing video creation capabilities for AI-generated content",,AI-Assisted Video Creation,https://learn.microsoft.com/clipchamp/
M365,Clipchamp,Insight,Medium,Limited meeting activity with 0 Teams meetings. Clipchamp with Copilot can help establish video-based communication culture - AI-powered video editing makes creating polished recordings accessible to all users.,"Launch Clipchamp training for creating video announcements, how-to guides, and product demos. Video content drives engagement in hybrid work - start with executive updates and employee onboarding materials.",AI-Assisted Video Creation,https://learn.microsoft.com/clipchamp/
M365,Bing Chat Enterprise,Success,,"Bing Chat Enterprise is active in O365 w/o Teams Bundle M5, enabling secure web-grounded AI conversations",,Secure Web AI with Bing Chat Enterprise,https://learn.microsoft.com/bing-chat-enterprise/
M365,Bing Chat Enterprise,Success,,"Web AI readiness: 0 users. Bing Chat Enterprise provides secure web-grounded AI - competitive research, industry trends, technical docs, market analysis. Complements M365 Copilot (internal data) with current web knowledge. Commercial data protection prevents leakage to consumer ChatGPT. Essential companion to organizational Copilot.",,Bing Chat Enterprise,https://learn.microsoft.com/bing-chat-enterprise/
M365,Microsoft 365 Phone System,Success,,"Microsoft 365 Phone System is active in O365 w/o Teams Bundle M5, enabling voice integration with conversational agents",,Voice-Enabled Agent Interactions,https://learn.microsoft.com/microsoftteams/what-is-phone-system-in-office-365/
M365,Microsoft 365 Phone System,Success,,"Voice communication baseline: 20 Teams users with 0 meetings. Phone System extends Copilot intelligence beyond meetings and chat into voice channels - enabling AI call routing, automated voicemail transcription with action item extraction, call summaries, and hands-free knowledge access for field workers. Voice becomes an AI-powered channel.",,Voice AI Integration,https://learn.microsoft.com/microsoftteams/what-is-phone-system-in-office-365/
M365,Microsoft 365 Phone System,Insight,Medium,Growing Teams usage: 20 users with 0 meetings. Phone System can extend AI to voice channels.,Pilot Phone System with customer service teams. Test voicemail transcription and call summaries before expanding to full voice agent integration.,Start Voice AI,https://learn.microsoft.com/microsoftteams/what-is-phone-system-in-office-365/
M365,Microsoft 365 Audio Conferencing,Success,,"Microsoft 365 Audio Conferencing is active in O365 w/o Teams Bundle M5, enabling Copilot to capture phone participant contributions in meeting summaries",,Inclusive Meeting Intelligence,https://learn.microsoft.com/microsoftteams/audio-conferencing-in-office-365
M365,Microsoft 365 Audio Conferencing,Success,,"Meeting collaboration baseline: 0 Teams meetings with 20 active users. Audio Conferencing ensures Copilot meeting intelligence captures ALL participants - including phone dial-in users - enabling comprehensive AI summaries, action items, and transcripts regardless of connection method. Critical for inclusive AI-enhanced collaboration.",,Inclusive Meeting Intelligence,https://learn.microsoft.com/microsoftteams/audio-conferencing-in-office-365
M365,Microsoft 365 Audio Conferencing,Insight,Medium,Growing meeting culture: 0 meetings with 20 Teams users. Audio Conferencing ensures all participants can contribute to AI-enhanced meetings.,Enable Audio Conferencing for external meetings and mobile-heavy scenarios to ensure Copilot captures all participants. Essential for distributed teams where connectivity varies.,Accessible Meeting Intelligence,https://learn.microsoft.com/microsoftteams/audio-conferencing-in-office-365
M365,Yammer Enterprise,Success,,"Yammer Enterprise is active in O365 w/o Teams Bundle M5, enabling community knowledge sharing for Copilot adoption",,Build Communities in Yammer,https://learn.microsoft.com/yammer/
M365,Yammer Enterprise,Insight,Medium,Smaller user base of 0 active M365 users. Yammer communities can establish peer-learning culture essential for AI adoption.,"Create focused Yammer community with weekly Copilot tips from power users. In smaller organizations, social knowledge transfer accelerates AI proficiency.",Build Communities in Yammer,https://learn.microsoft.com/yammer/
M365,Windows Update for Business,Success,,"Windows Update for Business is active in O365 w/o Teams Bundle M5, ensuring Windows devices stay current for Copilot features",,Manage Updates for Copilot Readiness,https://learn.microsoft.com/windows/deployment/update/
M365,Windows Update for Business,Success,,Device update management: 0 users. Windows Update for Business ensures devices stay current for Copilot compatibility - automated deployment of security patches and feature releases. Minimizes version fragmentation that causes Copilot integration issues. Device management foundation enabling consistent AI capabilities across organization.,,Update Management,https://learn.microsoft.com/windows/deployment/update/
M365,Windows Autopatch,Success,,"Windows Autopatch is active in O365 w/o Teams Bundle M5, automatically maintaining device currency for Copilot compatibility",,Automated Patching for AI Readiness,https://learn.microsoft.com/windows/deployment/windows-autopatch/
M365,Windows Autopatch,Success,,"Automated patching: 0 users. Windows Autopatch automatically maintains device currency for Copilot - eliminates manual update deployment, ensures latest AI features available immediately, reduces help desk burden from version issues. Zero-touch update management enabling consistent Copilot experiences without IT overhead.",,Autopatch Automation,https://learn.microsoft.com/windows/deployment/windows-autopatch/
M365,Windows 10/11 Enterprise,Success,,"Windows 10/11 Enterprise is active in O365 w/o Teams Bundle M5, providing the foundation for Windows Copilot integration",,Windows Enterprise for AI,https://learn.microsoft.com/windows/whats-new/
M365,Windows 10/11 Enterprise,Success,,Current user metrics: 0 active users. Windows 10/11 Enterprise provides Windows Copilot integration and enterprise-grade security for AI workloads across your organization.,,Windows Enterprise for AI,https://learn.microsoft.com/windows/whats-new/
M365,Whiteboard (Plan 3),Success,,"Whiteboard (Plan 3) is active in O365 w/o Teams Bundle M5, enabling AI-assisted visual collaboration",,Copilot in Whiteboard,https://learn.microsoft.com/microsoft-365/whiteboard/
M365,Whiteboard (Plan 3),Insight,Medium,Limited meeting collaboration with 0 Teams meetings (0.0 avg per user). Whiteboard with Copilot can establish visual brainstorming culture.,"Launch Whiteboard training program with Copilot-assisted templates for innovation workshops, sprint planning, and retrospectives. Visual collaboration with AI assistance can increase engagement and creativity in hybrid work environments.",Copilot in Whiteboard,https://learn.microsoft.com/microsoft-365/whiteboard/
M365,Viva Learning (Seeded),Success,,"Viva Learning (Seeded) is active in O365 w/o Teams Bundle M5, enabling AI-powered learning for Copilot skill development",,Train Users on Copilot with Viva Learning,https://learn.microsoft.com/viva/learning/overview-viva-learning
M365,Viva Learning (Seeded),Success,,Current user metrics: 0 total active users with 20 Teams users. Viva Learning can deliver Copilot training directly in Teams to accelerate AI adoption across your organization.,,Copilot Training with Viva Learning,https://learn.microsoft.com/viva/learning/use-tabs
M365,Viva Engage Core,Success,,"Viva Engage Core is active in O365 w/o Teams Bundle M5, enabling community-driven Copilot knowledge sharing",,Build Copilot Communities in Viva Engage,https://learn.microsoft.com/viva/engage/overview
M365,Viva Engage Core,Insight,Medium,Smaller user base of 0 active M365 users. Viva Engage can establish knowledge-sharing culture critical for Copilot adoption at scale - agents need organizational knowledge graph built through community discussions.,"Launch focused Viva Engage community with weekly Copilot tips from power users. In smaller organizations, personal knowledge transfer through social platforms accelerates AI proficiency faster than formal training alone.",Build Copilot Communities in Viva Engage,https://learn.microsoft.com/viva/engage/overview
M365,Universal Print,Success,,"Universal Print is active in O365 w/o Teams Bundle M5, enabling agent-initiated printing workflows",,Cloud Printing Infrastructure,https://learn.microsoft.com/universal-print/
M365,Universal Print,Success,,Current user metrics: 0 active users. Universal Print enables agent-automated printing workflows and eliminates print server maintenance for your organization.,,Cloud Printing Infrastructure,https://learn.microsoft.com/universal-print/
M365,Microsoft To Do (Plan 3),Success,,"Microsoft To Do (Plan 3) is active in O365 w/o Teams Bundle M5, enabling Copilot to manage personal tasks automatically",,AI Task Management with To Do,https://learn.microsoft.com/microsoft-365/todotasks/
M365,Microsoft To Do (Plan 3),Success,,"Email and meeting activity (20 email users, 0 meetings) generates personal tasks. To Do integrates with Copilot to capture action items automatically.",,Task Management,https://learn.microsoft.com/microsoft-365/todotasks/
M365,Sway,Success,,"Sway is active in O365 w/o Teams Bundle M5, enabling AI-generated interactive content",,Create Sways with Copilot,https://learn.microsoft.com/sway/
M365,Sway,PendingInput,Low,Your tenant has 0 SharePoint files and 0 active SharePoint users. Focus on building SharePoint content base for Copilot knowledge grounding before investing in Sway - agents need rich document repositories to provide intelligent recommendations.,"Build core content foundation before deploying Sway. With 0 SharePoint files and 0 active users, prioritize creating structured content in SharePoint, Teams, and OneDrive first. Once your content base grows, then leverage Sway for specific use cases like executive updates or marketing materials where visual presentation is critical.",SharePoint Content Planning,https://learn.microsoft.com/sharepoint/plan-site-architecture
M365,Skype for Business Online (Plan 2),Success,,Skype for Business Online (Plan 2) is active in O365 w/o Teams Bundle M5. Note: Skype for Business is deprecated; migrate to Teams for Copilot features,,Migrate from Skype to Teams,https://learn.microsoft.com/microsoftteams/skype-for-business-online-retirement/
M365,Skype for Business Online (Plan 2),Success,,Organization has 20 active Teams users with 0 meetings. Skype for Business is deprecated - complete migration to Teams for Copilot meeting intelligence.,,Migrate from Skype to Teams,https://learn.microsoft.com/microsoftteams/skype-for-business-online-retirement/
M365,Project for Office 365 (Plan 3),Success,,"Project for Office 365 (Plan 3) is active in O365 w/o Teams Bundle M5, enabling AI-assisted project planning and tracking",,Agent-Driven Project Management,https://learn.microsoft.com/project/
M365,Project for Office 365 (Plan 3),Success,,"Project intelligence baseline: 0 users, 0 meetings, 0 SharePoint sites. Project for Office 365 becomes AI-powered when combined with Copilot - automated risk identification from meeting transcripts, schedule prediction from historical patterns, resource allocation recommendations, and natural language project queries. Transforms project data into AI-actionable insights.",,AI Project Management,https://learn.microsoft.com/project/
M365,Office for the Web (SharePoint),Success,,"Office for the Web (SharePoint) is active in O365 w/o Teams Bundle M5, enabling Copilot assistance in browser-based Office apps",,Copilot in Office for the Web,https://learn.microsoft.com/microsoft-365/
M365,Office for the Web (SharePoint) - Web Usage,Warning,Medium,Low web usage: Only 0 SharePoint page views. Office for web adoption appears minimal - establish browser-based Office usage for seamless Copilot integration without desktop installations.,"Drive Office for web adoption for browser-based productivity. Users may be missing opportunities for quick edits, mobile access, and real-time collaboration. Educate users on browser-based editing capabilities.",Office for Web Getting Started,https://support.microsoft.com/office
M365,Nucleus,Success,,"Nucleus is active in O365 w/o Teams Bundle M5, enabling cross-workload data orchestration that allows Copilot to surface insights across Microsoft Graph from emails, documents, meetings, and chats in a unified intelligence layer",,Microsoft Graph and Copilot Data Layer,https://learn.microsoft.com/graph/overview
M365,Nucleus,Success,,"Knowledge graph baseline: 1,062 SharePoint files, 20 email users, 20 Teams users. Nucleus (Microsoft Graph) IS Copilot's brain - the unified knowledge graph where agents retrieve documents, traverse relationships, and access organizational context. Every file indexed, every connection mapped, every permission checked flows through Graph. Without Nucleus data richness, Copilot's answers lack depth.",,AI Knowledge Layer,https://learn.microsoft.com/graph/overview
M365,Nucleus,Insight,Medium,"Growing data layer: 1,062 SharePoint files and 20 email users. Nucleus orchestrates increasing M365 content for Copilot.","Continue building Microsoft Graph content through SharePoint, Teams, and email adoption. As data layer grows, Copilot responses become more contextual and valuable.",Build Graph Content Base,https://learn.microsoft.com/graph/overview
M365,Microsoft Intune for Office 365,PendingActivation,Medium,"Microsoft Intune for Office 365 is PendingActivation in O365 w/o Teams Bundle M5, lacking mobile app protection for Copilot on phones/tablets","Enable Microsoft Intune for Office 365 to protect Copilot data on mobile devices (phones and tablets). Without mobile app management, users accessing Copilot on mobile devices can: 1) Copy/paste AI-generated summaries containing sensitive data to personal apps, 2) Take screenshots of Copilot responses without DLP enforcement, 3) Store Office files with Copilot content on unencrypted devices, 4) Access Copilot from jailbroken/rooted devices bypassing security. Configure Mobile Application Management (MAM) policies for Office apps to: require app PIN for Copilot access, prevent copy/paste and screenshots, encrypt app data at rest, block managed apps on non-compliant devices. Available in Business Basic/Standard tiers - provides essential mobile protection without full Intune licensing. Start with protecting Outlook, Teams, and OneDrive mobile apps where Copilot is integrated.",Mobile App Protection Policies,https://learn.microsoft.com/mem/intune/apps/app-protection-policy
M365,Microsoft StaffHub,Success,,Microsoft StaffHub is active in O365 w/o Teams Bundle M5. Note: StaffHub is retired; migrate to Teams Shifts for AI-powered frontline worker scheduling,,Use Teams Shifts Instead,https://learn.microsoft.com/microsoft-365/frontline/shifts-for-teams-landing-page/
M365,Microsoft StaffHub,Success,,"Frontline workforce readiness: 0 users with 20 Teams users. StaffHub RETIRED (2020) - Teams Shifts is the modern replacement with AI capabilities. Shifts enables Copilot-assisted schedule optimization, intelligent shift swap recommendations based on skills and availability, automated coverage suggestions when gaps detected, and predictive staffing needs from historical patterns. Essential infrastructure for frontline AI adoption.",,Teams Shifts Migration,https://learn.microsoft.com/microsoft-365/frontline/shifts-for-teams-landing-page/
M365,Microsoft StaffHub,Insight,High,URGENT: 20 users on Teams but StaffHub still licensed. StaffHub retired 4+ years ago - critical migration gap for AI-powered scheduling.,"Immediately migrate to Teams Shifts. With {teams_active_users:,} Teams users, infrastructure exists for modern frontline management. Shifts enables AI schedule optimization, Copilot shift coverage assistance, and integration with Teams chat for shift-related communication. Every day on retired StaffHub delays frontline workforce AI capabilities.",Immediate Shifts Migration,https://learn.microsoft.com/microsoft-365/frontline/shifts-for-teams-landing-page/
M365,Microsoft Search (Service),Success,,"Microsoft Search (Service) is active in O365 w/o Teams Bundle M5, powering Copilot's information retrieval across M365",,Enterprise Search for AI,https://learn.microsoft.com/microsoftsearch/
M365,Microsoft Search (Service),Success,,Search index contains 1062 SharePoint files and 20 active email users. Microsoft Search indexes this content for Copilot queries.,,Enterprise Search,https://learn.microsoft.com/microsoftsearch/
M365,Microsoft Planner,Success,,"Microsoft Planner is active in O365 w/o Teams Bundle M5, enabling Copilot to automate task creation and tracking",,Copilot Task Automation with Planner,https://learn.microsoft.com/office365/planner/planner-for-admins
M365,Microsoft Planner - Collaboration,Success,Low,Low collaboration: Only 0 Teams meetings. Limited collaboration context for Planner adoption - establish teamwork patterns where Copilot can suggest tasks from meeting discussions and automatically track project progress.,Build collaboration foundation before deploying Planner. Focus on increasing Teams adoption first. Planner's value grows with team collaboration.,Teams Adoption,https://adoption.microsoft.com/microsoft-teams/
M365,Exchange Analytics,Success,,"Exchange Analytics is active in O365 w/o Teams Bundle M5, providing communication pattern insights alongside Copilot usage",,Email Intelligence Analytics,https://learn.microsoft.com/viva/insights/
M365,Exchange Analytics,Success,,"Communication analytics baseline: 20 active email users out of 0 total users. Exchange Analytics reveals communication patterns (email volume, response times, network density) that contextualize Copilot's impact - identify communication bottlenecks AI can eliminate, measure email reduction from Copilot summaries, detect collaboration silos agents can bridge. The metrics layer for AI-driven communication transformation.",,Email Intelligence,https://learn.microsoft.com/viva/insights/
M365,Exchange Analytics,Insight,Medium,Moderate email activity: 20 users actively using email. Exchange Analytics can track Copilot impact on communication efficiency.,Use Exchange Analytics to identify heavy email users (10+ emails/day) as Copilot early adopters. Track their email patterns before/after Copilot to demonstrate time savings from AI-assisted drafting.,Track Communication Patterns,https://learn.microsoft.com/viva/insights/
M365,Microsoft Kaizala,Success,High,Microsoft Kaizala is active in O365 w/o Teams Bundle M5 - Frontline workers lack AI capabilities,"Migrate frontline workers from Kaizala to Microsoft Teams to enable AI-powered communication and agent assistance for deskless employees. Kaizala lacks Copilot integration, meaning frontline teams cannot benefit from intelligent message summarization, shift handoff automation, task prioritization, or AI-assisted knowledge discovery. Teams provides frontline-specific features with Copilot integration: walkie-talkie mode with AI transcription, shift scheduling with intelligent recommendations, approvals workflows with agent automation, and mobile-first collaboration where Copilot helps workers find procedures, safety information, and expert contacts. Migration brings frontline workers into the same AI-enhanced communication ecosystem as information workers, ensuring consistent experience and eliminating digital divide between desk and deskless employees.",Teams for Frontline with Copilot,https://learn.microsoft.com/microsoft-365/frontline/
M365,Microsoft Kaizala,Success,,"Frontline AI readiness: 0 total users with 20 already on Teams but Kaizala still licensed (retired July 2023). Kaizala blocks frontline access to Copilot chat, AI-powered workflows, and agent-assisted task management. Every day on deprecated platform delays AI benefits for field workers who need Copilot most - hands-free knowledge access, voice-driven updates, automated task routing. Immediate Teams migration mandatory for frontline AI adoption.",,Urgent Frontline Migration,https://learn.microsoft.com/microsoft-365/frontline/
M365,Microsoft Kaizala,Insight,High,Teams infrastructure exists: 20 users already on Teams. Kaizala users missing AI features available to Teams users - immediate migration recommended.,"Accelerate Kaizala to Teams migration immediately. With {teams_active_users:,} users already on Teams, infrastructure and adoption patterns are established. Migrate remaining Kaizala users to eliminate capability gap and enable AI-powered frontline collaboration.",Urgent: Migrate to Teams,https://learn.microsoft.com/microsoft-365/frontline/
M365,Microsoft Forms (Plan E5),Success,,"Microsoft Forms (Plan E5) is active in O365 w/o Teams Bundle M5, enabling advanced agent-driven form workflows",,Advanced Forms for Agent Workflows,https://learn.microsoft.com/microsoft-forms/
M365,Microsoft Forms (Plan E5),Insight,Medium,Smaller user base of 0 active M365 users. Forms E5 can establish structured feedback culture essential for agent improvement and adoption insights.,Create intelligent Forms for continuous Copilot feedback collection. Use branching logic to gather detailed insights from different user personas (beginners vs. power users).,Advanced Forms for Agent Workflows,https://learn.microsoft.com/microsoft-forms/
M365,Excel Advanced Analytics,Success,,"Excel Advanced Analytics is active in O365 w/o Teams Bundle M5, enabling advanced AI-powered data analysis in Excel",,Copilot Advanced Analytics in Excel,https://learn.microsoft.com/microsoft-365/excel/
M365,Excel Advanced Analytics,Success,,Current user metrics: 0 active users. Excel Advanced Analytics with Copilot democratizes data analysis through natural language queries and AI-powered insights across your organization.,,Copilot Advanced Analytics in Excel,https://learn.microsoft.com/microsoft-365/excel/
M365,Microsoft Bookings (Service),Success,,"Microsoft Bookings (Service) is active in O365 w/o Teams Bundle M5, enabling agent-automated appointment scheduling",,Automate Scheduling with Agents,https://learn.microsoft.com/microsoft-365/bookings/
M365,Microsoft Bookings (Service),Success,Low,Low communication activity: 0.0 emails per user and 0 meetings. Limited scheduling context for Bookings - establish meeting culture where Copilot can automate scheduling and meeting prep.,Build email and Teams adoption before deploying Microsoft Bookings. Focus on increasing collaboration activity first. Bookings value grows with communication volume.,Microsoft 365 Adoption,https://adoption.microsoft.com/
M365,Microsoft 365 Lighthouse,Success,,"Microsoft 365 Lighthouse is active in O365 w/o Teams Bundle M5, allowing MSP partners to monitor this tenant's security posture, compliance baselines, and user management through centralized oversight—foundational requirements for successful Copilot deployment",,MSP Multi-Tenant Management,https://learn.microsoft.com/microsoft-365/lighthouse/
M365,Microsoft 365 Lighthouse,Success,,"MSP management: 0 users under Lighthouse oversight. M365 Lighthouse IS the MSP platform for managing Copilot deployments across client tenants - centralized security baselines, compliance monitoring, deployment health, adoption tracking. MSPs use Lighthouse to ensure AI governance, monitor security posture, and track Copilot ROI across their customer portfolio without per-tenant logins.",,Lighthouse Copilot Management,https://learn.microsoft.com/microsoft-365/lighthouse/
M365,Microsoft 365 Apps for Enterprise,Success,,"Microsoft 365 Apps for Enterprise is active in O365 w/o Teams Bundle M5, providing Word, Excel, PowerPoint, and Outlook with Copilot integration",,Copilot in Office Applications,https://learn.microsoft.com/deployoffice/about-microsoft-365-apps
M365,Microsoft 365 Apps for Enterprise - Desktop Adoption,Warning,Medium,"Low desktop Office adoption: Only 0.0% have desktop apps (0 Windows, 0 Mac), 0 mobile-only. Limited Copilot capabilities","Deploy desktop Office apps to maximize Copilot value. Low desktop adoption means most users can't access full Copilot features in Word, Excel, PowerPoint, Outlook. Web and mobile have limited AI capabilities. Deploy desktop Office to knowledge workers, content creators, data analysts - roles that benefit most from Copilot. Target 70%+ desktop adoption for effective Copilot program.",Office Deployment Guide,https://learn.microsoft.com/deployoffice/deployment-guide-microsoft-365-apps
M365,Viva Insights - MyAnalytics (Full),Success,,"Viva Insights - MyAnalytics (Full) is active in O365 w/o Teams Bundle M5, providing personal productivity analytics alongside Copilot usage",,Personal Productivity Insights,https://learn.microsoft.com/viva/insights/
M365,Viva Insights - MyAnalytics (Full),Insight,Medium,Smaller user base of 0 active M365 users. MyAnalytics can establish data-driven productivity culture where Copilot usage is measurably linked to wellbeing improvements.,Enable MyAnalytics for leaders and power users first. Use personal productivity insights to demonstrate Copilot ROI through metrics like reduced after-hours work and increased focus time.,Personal Productivity Insights,https://learn.microsoft.com/viva/insights/
M365,Graph Connectors Search Index,Success,,"Graph Connectors Search Index is active in O365 w/o Teams Bundle M5, enabling Copilot to access external data sources via Graph Connectors",,Extend Copilot to External Data,https://learn.microsoft.com/graph/connecting-external-content-connectors-overview/
M365,Graph Connectors Search Index,Success,,"Knowledge integration baseline: 1,062 SharePoint files across 0 sites for 0 users. Graph Connectors EXPAND Copilot's knowledge beyond M365 - index Salesforce, ServiceNow, SAP, custom databases into Microsoft Graph so agents query ALL organizational knowledge, not just Office files. Without connectors, Copilot operates with partial visibility. Critical for enterprise AI that needs complete context.",,External Knowledge Integration,https://learn.microsoft.com/graph/connecting-external-content-connectors-overview/
M365,Graph Connectors Search Index,Insight,Medium,"Moderate content base: 1,062 SharePoint files for 0 users. Consider Graph Connectors to enrich Copilot's knowledge base.","Plan Graph Connector deployment for critical external systems. Start with one high-value connector (e.g., support ticketing system) to demonstrate unified search before scaling to additional sources.",Plan Connector Strategy,https://learn.microsoft.com/graph/connecting-external-content-connectors-overview/
M365,Exchange Foundation,Success,,"Exchange Foundation is active in Power Automate Free, providing messaging infrastructure that enables agent-triggered notifications and workflow communications",,Exchange Foundation Infrastructure,https://learn.microsoft.com/exchange/exchange-online/
M365,Exchange Foundation,Success,,"Messaging infrastructure baseline: 0 users with 20 email users. Exchange Foundation is the backend infrastructure layer - NOT user-facing Copilot features but the messaging plumbing that enables notifications, calendar integrations, and workflow triggers. Supports agent-driven communications where automated systems send emails, meeting invites, or alerts. Foundational dependency for M365 Copilot email and calendar features.",,Exchange Infrastructure,https://learn.microsoft.com/exchange/exchange-online/
M365,Exchange Online (Plan 2),Success,,"Exchange Online (Plan 2) is active in O365 w/o Teams Bundle M5, enabling Copilot to assist with email management and calendar intelligence",,Intelligent Email with Copilot,https://learn.microsoft.com/exchange/exchange-online
M365,Exchange Online (Plan 2) - Activity Baseline,Success,Low,"Email activity data available: 20 active users, averaging 0.0 emails sent per user. Baseline established for measuring Copilot impact","Track email metrics before and after Copilot: drafting time (target 30-40% reduction), email volume, response quality. Focus on high-volume roles (managers, sales, support) where Copilot saves 2-3 hours weekly.",Exchange Activity Reports,https://learn.microsoft.com/microsoft-365/admin/activity-reports/email-activity
M365,SharePoint (Plan 2),Success,,"SharePoint (Plan 2) is active in O365 w/o Teams Bundle M5, providing enterprise content management for Copilot",,SharePoint Documentation,https://learn.microsoft.com/sharepoint/
