Service,Feature,Status,Priority,Observation,Recommendation,LinkText,LinkUrl
Power Platform,Common Data Service (Viral),Success,,"Common Data Service (Viral) is active in Power Automate Free, providing data storage for Power Platform apps and flows that can integrate with Copilot",,Microsoft 365 Documentation,https://learn.microsoft.com/microsoft-365/
Power Platform,Common Data Service (Viral) - Trial,Success,Low,Viral Dataverse available for trials,Experiment with basic Dataverse scenarios for agent prototyping.,Dataverse Trials,https://learn.microsoft.com/power-apps/maker/data-platform/
Power Platform,Power Automate (Free),Success,,"Power Automate (Free) is active in Power Automate Free, enabling workflow automation that can be triggered by Copilot and agents",,Microsoft 365 Documentation,https://learn.microsoft.com/microsoft-365/
Power Platform,Power Automate (Free) - Trial Workflows,Success,Low,"Free Power Automate tier lets you prototype Copilot-triggered workflows (send emails, create Teams messages when user prompts agent) to prove automation value before purchasing licenses. No flows created yet - ideal time to start with agent-triggered automation.","Use free tier to test agent automation scenarios: Create simple flow triggered by agent (send email, create Teams message), understand agent + workflow integration before requesting premium licenses. Trial demonstrates ROI for licensed automation. Limitations: Limited runs per month, no premium connectors - sufficient for PoC but not production.",Trial Automation,https://learn.microsoft.com/power-automate/
Power Platform,Power Automate for Copilot Studio,Success,,"Power Automate for Copilot Studio is active in Copilot Studio (Viral), enabling agents to trigger automated workflows and actions",,Agent Workflows with Power Automate,https://learn.microsoft.com/power-automate/
Power Platform,Power Automate for Copilot Studio - First Action Agent,Success,Low,"Power Automate bundled with Copilot Studio enables agents to trigger multi-step workflows (create tickets, update CRM, send approvals) when users request actions in conversation. No flows yet - start with simple agent action like 'send email' or 'create Teams message'.","Create first agent workflow: Simple action like send email, create Teams message, update list when agent detects intent.",Getting Started,https://learn.microsoft.com/microsoft-copilot-studio/advanced-flow
Power Platform,Common Data Service for Copilot Studio,Success,,"Common Data Service for Copilot Studio is active in Copilot Studio (Viral), providing data persistence for agent conversations and context",,Dataverse for Agent State Management,https://learn.microsoft.com/power-apps/maker/data-platform/
Power Platform,Common Data Service for Copilot Studio - Agent Planning,Success,Low,Dataverse for agents available,Identify agent scenarios requiring persistent data and conversation context storage.,Copilot Studio,https://learn.microsoft.com/microsoft-copilot-studio/
Power Platform,DLP Governance - Copilot Extensibility,Success,Low,No DLP policies configured - maximum flexibility for Copilot plugin development,"Consider implementing DLP policies for governance while preserving Copilot extensibility: 1) Create environment-specific policies (not tenant-wide) to isolate plugin development, 2) Allow HTTP and Custom Connectors in dedicated 'Copilot Innovation' environment, 3) Restrict only high-risk connectors (social media, consumer storage), 4) Document governance exceptions for Copilot plugins. Start with permissive policies and tighten based on usage patterns. Balance innovation with data protection.",DLP Policy Best Practices,https://learn.microsoft.com/power-platform/admin/wp-data-loss-prevention
Power Platform,AI Builder - Assessment Needed,Success,Low,AI Builder model inventory unavailable - requires Power Platform Administrator access to identify existing AI capabilities for Copilot integration,"Request Power Platform Administrator role to assess AI Builder models: 1) Inventory existing models (document processing, predictions, text classification), 2) Identify which models are published and ready for Copilot integration, 3) Map model capabilities to Copilot scenarios (invoice processing, lead scoring, sentiment analysis), 4) Create Power Automate flows with HTTP triggers to expose models as Copilot plugins. AI Builder models significantly enhance Copilot intelligence - assess current inventory before building new capabilities.",AI Builder Overview,https://learn.microsoft.com/ai-builder/overview
